Plate,Well,Sample_type,Condition,Concentration,Timepoint,Biological_rep,Technical_rep,Notes,Cq,Run_ID,Run_folder,Outlier_flag,log10_quantity,Relative_quantity,Included
24h_Bio1,A1,Negative control,Negative Ctrl,0 nM,24h,Bio1,1,,18.0571228433687,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,6.325096734168138,2113959.8479712857,True
24h_Bio1,A2,Negative control,Negative Ctrl,0 nM,24h,Bio1,2,,17.4483426643077,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,6.48758094636582,3073130.0999959162,True
24h_Bio1,A3,Negative control,Negative Ctrl,0 nM,24h,Bio1,3,,17.6907539929254,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,6.422881051209913,2647774.840999772,True
24h_Bio1,A4,Treatment,Treat 100 uM,100 uM,24h,Bio1,1,,25.2515423668713,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,4.404896917053509,25403.69658812106,True
24h_Bio1,A5,Treatment,Treat 100 uM,100 uM,24h,Bio1,2,,25.1917731915059,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,4.420849386774076,26354.172652278117,True
24h_Bio1,A6,Treatment,Treat 100 uM,100 uM,24h,Bio1,3,,26.2765807815087,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,4.131312846804024,13530.468881898,True
24h_Bio1,A7,DMSO control,DMSO 100 uM,100 uM,24h,Bio1,1,,15.844906587887,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,6.915540095903857,8232658.407981011,True
24h_Bio1,A8,DMSO control,DMSO 100 uM,100 uM,24h,Bio1,2,,15.4686885913532,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,7.015953162695343,10374165.276494784,True
24h_Bio1,A9,DMSO control,DMSO 100 uM,100 uM,24h,Bio1,3,,15.6231568113396,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,6.974725396257906,9434641.367046108,True
24h_Bio1,B1,Treatment,Treat 50 uM,50 uM,24h,Bio1,1,,20.0931760331205,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,5.781671521081083,604883.1978864407,True
24h_Bio1,B2,Treatment,Treat 50 uM,50 uM,24h,Bio1,2,,20.0444693229882,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,5.794671404613419,623263.084445864,True
24h_Bio1,B3,Treatment,Treat 50 uM,50 uM,24h,Bio1,3,,19.8946431060373,24h_Bio1,/Users/conrad/Desktop/Bioinformatics/FYP/lab_plan/qPCR/result/conrad_24_AIcpd_1_biodup1,,5.834660214474765,683376.7742746022,True
